subject,wm_snr_orig,gm_snr_orig,wm_snr_norm,gm_snr_norm,cc_size,holes_lh,holes_rh,defects_lh,defects_rh,topo_lh,topo_rh,con_snr_lh,con_snr_rh,rot_tal_x,rot_tal_y,rot_tal_z
sub-282628_ffs,13.7956906273402,7.394150352674663,20.531818305473667,5.969937749461462,0.0035220929713557845,3,2,4,6,0.8,0.9,3.9107568,3.7275884,-0.1795465740145245,0.0008644548245369113,0.0691156404548638
sub-292060_ffs,13.1227662953269,6.726542025779881,22.092028233203983,6.464189384782871,0.003381037160201995,13,8,12,14,1.3,1.1,3.6632657,3.6530929,0.04170717340899786,-0.040766870097074394,0.02130206620813398
sub-307592_ffs,9.774191755981622,5.819294386637151,21.11416214883989,5.772531771069025,0.0037386143286118373,8,2,11,6,0.4,1.1,3.6679447,3.6516788,-0.09182894559102125,0.06178099476648605,0.03579472378524074
sub-335448_ffs,12.169722043017309,6.633092985361603,16.162342454891302,5.909911971084067,0.0025413769859598144,15,17,13,17,2.5,9.0,3.6259468,3.5905294,-0.17984623803264005,-0.011848381645764662,-0.012951219498076764
sub-535925_ffs,9.304998933510808,5.617024773464822,23.660489210800385,6.226526740546083,0.004088125583932673,6,4,9,8,0.5,0.9,4.006551,3.8489509,-0.224556506158346,0.014034478761673665,0.05822920888009484
sub-561646_ffs,15.755178890908494,7.281048560294159,22.22507203795212,6.250239436561758,0.0036038812118912404,9,6,12,8,0.9,1.2,3.688534,3.7211847,-0.1698448344075914,-0.002536367652806204,0.06164315750161028
sub-567742_ffs,10.166200639777278,4.472098667657126,20.525415227300137,6.038150908433237,0.002411700988433307,16,6,11,18,1.1,2.1,3.851366,3.8283882,-0.07515258463101405,-0.03661404489969872,0.07115206370048331
sub-570379_ffs,13.89191410617673,7.318436337432365,19.647419525585093,5.881745527659792,0.0035685362933897432,10,8,13,12,1.6,1.5,3.928731,3.8616958,-0.12284578789499667,0.023826135298536024,0.06486183282541265
sub-579247_ffs,15.14888811336646,7.279155011021469,21.094713023606133,5.843294823860795,0.003443102728014392,8,4,7,7,1.1,1.4,3.9710093,3.8175101,-0.157794400247964,0.017903869590141057,0.03178904507216632
sub-581638_ffs,13.633310930014128,6.827488719275647,22.687272260929085,6.1311972464551765,0.003518311019969248,8,5,8,10,0.7,1.1,3.8812947,3.8826432,-0.0016284481964353428,-0.01981558918287186,0.09876250625186193
sub-593354_ffs,13.750743288825692,7.962024451710398,19.629721767366703,6.287011046383808,0.005518875652479036,3,5,8,8,0.5,1.1,3.6557274,3.6406007,-0.09685492086429437,0.020146668369777982,0.0018590401867992876
sub-599619_ffs,12.022129772583785,6.818922430233262,20.75034644559325,6.115402582938329,0.0033070263605063034,4,5,9,7,0.7,0.6,3.9731197,3.865567,-0.13024189966252608,-0.038196202844317934,-0.062367584795777385
sub-603309_ffs,13.98514345082337,7.2938698787375005,18.645684503284777,6.062840556710721,0.002759519962198224,23,7,24,11,2.8,5.1,3.298121,3.3008206,-0.13210905691869818,0.047920704665277876,0.10753950594330434
